feature_name,MAE_norm,Norm_Coeff_age,Norm_Coeff_age2,Norm_Intercept,Scaler_center,Scaler_scale,mean
A2009-ctx-lh-G_front_sup_ThickStd,0.579405298325329,-0.0889190662435099,0.000841080502630095,2.1546308033938,0.619,0.0700000000000001,2.58523678555916
A2009-ctx-lh-G_Ins_lg_and_S_cent_ins_GrayVol,0.569949936639974,-0.021366162308101,2.05144589998448E-05,0.932523154875566,1465,280,-0.127686551694359
A2009-ctx-lh-G_Ins_lg_and_S_cent_ins_ThickAvg,0.56790880714436,-0.0331818675901598,0.000126569695876399,1.23504678524531,2.92,0.335,-0.211759000010186
A2009-ctx-lh-G_Ins_lg_and_S_cent_ins_ThickStd,0.583748952727419,-0.0643943025496569,0.000639359417462059,1.52431057989004,0.735,0.151,1.3610050082996
A2009-ctx-lh-G_insular_short_GrayVol,0.546123394680167,-0.0460639682859698,0.000320897325434597,1.3792924908787,2350,405,-0.314201885403304
A2009-ctx-lh-G_insular_short_ThickAvg,0.56506857784891,-0.032877425292417,0.000154712301658775,1.12198036637524,3.419,0.315,1.78132219922187
A2009-ctx-lh-G_insular_short_ThickStd,0.616208767732513,-0.00898021592619915,0.000188853973891493,0.000943869738044346,0.782,0.129,0.0509593429121168
A2009-ctx-lh-G_occipital_middle_GrayVol,0.586348414466294,-0.0242691736401234,0.000148369100761049,0.79215293829635,5040,1108,-1.19412776437747
A2009-ctx-lh-G_occipital_middle_ThickAvg,0.558910747673135,-0.0418997447254157,0.000292394329331404,1.25947078150815,2.59,0.242,-1.00578032560618
A2009-ctx-lh-G_occipital_middle_ThickStd,0.582147034912872,-0.0576497678952146,0.000756959946363604,0.895368612207075,0.584,0.106,-0.763712995710998
A2009-ctx-lh-G_occipital_sup_GrayVol,0.560207918916536,0.00728833130472524,-0.000260865747995645,0.272225669757972,2477,613,-0.262770132983202
A2009-ctx-lh-G_occipital_sup_ThickAvg,0.583474649503035,-0.0379200925218772,0.00030549692268838,1.02675061759921,2.127,0.24,0.210169523127144
A2009-ctx-lh-G_occipital_sup_ThickStd,0.602462360281113,0.0030157977028344,-7.15400958556459E-05,0.0277178823557003,0.589,0.13,-0.45152730230267
A2009-ctx-lh-G_oc-temp_lat-fusifor_GrayVol,0.579736894569096,-0.00171864156241596,-0.00013307896636366,0.371479040374813,4829,1029,1.83379728425066
A2009-ctx-lh-G_oc-temp_lat-fusifor_ThickAvg,0.601599050156026,-0.0126906535906853,-3.30045018351265E-05,0.634468250902047,2.833,0.224,-0.527874832280307
A2009-ctx-lh-G_oc-temp_lat-fusifor_ThickStd,0.588760501877275,-0.0149145149870735,0.000274354144074918,0.0910716428689939,0.642,0.092,3.1705938987311
A2009-ctx-lh-G_oc-temp_med-Lingual_GrayVol,0.572000224811914,-0.00669309597526591,-5.5449385797587E-05,0.449025301416248,5005,1106,1.27161938502347
A2009-ctx-lh-G_oc-temp_med-Lingual_ThickAvg,0.567380803560798,-0.0437526715074309,0.000335370497372459,1.21517363938743,1.9,0.178,0.355975855595481
A2009-ctx-lh-G_oc-temp_med-Lingual_ThickStd,0.579097565541166,-0.0144852481858381,-3.21987282292964E-06,0.698273158268625,0.682,0.091,-0.102935508656863
A2009-ctx-lh-G_oc-temp_med-Parahip_GrayVol,0.558705964143342,0.00280063185555144,-8.95310687665317E-05,0.106609491489635,3652,1059,-0.977901231455977
A2009-ctx-lh-G_oc-temp_med-Parahip_ThickAvg,0.585553532025278,0.0188419529591609,-0.000216399022840107,-0.377768634625784,3.007,0.28,-0.0749260575536073
A2009-ctx-lh-G_oc-temp_med-Parahip_ThickStd,0.569763725125173,-0.0283118316798613,0.000389312562739874,0.386017209872459,0.817,0.09,-1.78595570918039
A2009-ctx-lh-G_orbital_GrayVol,0.520390144287236,-0.0521666216805692,0.000266583501714958,1.790415745525,6208,975,0.440004417837304
A2009-ctx-lh-G_orbital_ThickAvg,0.574416573948501,-0.0645095698822751,0.000470353227831872,1.89249129989508,2.674,0.212,0.783838390583178
A2009-ctx-lh-G_orbital_ThickStd,0.589465008774296,-0.0527799110370617,0.000487989862381126,1.29496858296551,0.696,0.089,0.767701811778606
A2009-ctx-lh-G_pariet_inf-Angular_GrayVol,0.567000271673618,-0.0461919826479109,0.00029349581541008,1.46084507858587,5872,1302,-0.88333312012064
A2009-ctx-lh-G_pariet_inf-Angular_ThickAvg,0.535954864233974,-0.062059201030611,0.00041854789103525,1.87472366000392,2.58,0.238,0.406111485220717
A2009-ctx-lh-G_pariet_inf-Angular_ThickStd,0.578427192442371,-0.0672871455839446,0.000737091660009457,1.38512866945712,0.591,0.096,-0.0540581960142533
A2009-ctx-lh-G_pariet_inf-Supramar_GrayVol,0.538075484469382,-0.0328076202669205,0.000120227964510161,1.24008037901877,6545,1559,0.132493441916215
A2009-ctx-lh-G_pariet_inf-Supramar_ThickAvg,0.5386699675101,-0.0689186847057743,0.000484485440798723,2.03366356039878,2.61,0.216,-0.900276147666087
A2009-ctx-lh-G_pariet_inf-Supramar_ThickStd,0.580790491241372,-0.0883918409520242,0.000922432903656462,1.97547191139312,0.56,0.074,1.07058462890005
A2009-ctx-lh-G_parietal_sup_GrayVol,0.577694526476894,-0.043137481442575,0.000283677820779948,1.34263807534036,5572,1152,-0.421279276094535
A2009-ctx-lh-G_parietal_sup_ThickAvg,0.581955499712358,-0.0297648237117193,0.000245252008114201,0.821172087713271,2.245,0.203,-0.0215496077992782
A2009-ctx-lh-G_parietal_sup_ThickStd,0.603376083671972,-0.0579806507641638,0.000753701370918572,0.974036273104019,0.582,0.089,-1.28822390400267
A2009-ctx-lh-G_postcentral_GrayVol,0.589988160791248,-0.0217148745263922,9.65512931713658E-05,0.813793244713314,3999,872,-0.260886832427447
A2009-ctx-lh-G_postcentral_ThickAvg,0.57152163392462,-0.0487591535691092,0.000342521141762987,1.41892480519766,2.077,0.214,0.110302497755874
A2009-ctx-lh-G_postcentral_ThickStd,0.595758148768393,-0.0593303881177254,0.000592869497954223,1.37976960887861,0.557,0.092,-0.237676743622487
A2009-ctx-lh-G_precentral_GrayVol,0.60354453585702,-0.0419557034920657,0.000258508198869524,1.34686707679457,6045,949,0.322174119293576
A2009-ctx-lh-G_precentral_ThickAvg,0.563297203461327,-0.0354203309415619,0.000176082501053961,1.24385845297494,2.665,0.218,-0.297761710669213
A2009-ctx-lh-G_precentral_ThickStd,0.58426289390436,-0.0625009718124659,0.000739565440758072,1.19594655681525,0.571,0.093,-1.36146619449266
A2009-ctx-lh-G_precuneus_GrayVol,0.543701311750577,-0.0512427828393349,0.000289999085339405,1.71473299402537,5825,1134,-0.198954414433638
A2009-ctx-lh-G_precuneus_ThickAvg,0.553017860257862,-0.0730317364885294,0.000560262881919451,2.04109384133249,2.381,0.205,-1.75858466537488
A2009-ctx-lh-G_precuneus_ThickStd,0.578274286393265,-0.0618722078311198,0.000714741371348671,1.24852726204929,0.577,0.072,0.483735835773033
A2009-ctx-lh-G_rectus_GrayVol,0.52474624112104,-0.0329986458083261,0.000118832223783494,1.23979483764732,2548,493,0.43401518537448
A2009-ctx-lh-G_rectus_ThickAvg,0.558390656153194,-0.0466770873050417,0.000273538352951612,1.51876770279468,2.59,0.254,-0.44904425081968
A2009-ctx-lh-G_rectus_ThickStd,0.601494307744974,-0.0794800563621168,0.000815331079115989,1.79089516532863,0.586,0.097,2.57894885383855
A2009-ctx-lh-G_subcallosal_GrayVol,0.586030026199834,0.0158537823507323,-0.000226747210010262,-0.208614979841068,1259,418,0.365408488035284
A2009-ctx-lh-G_subcallosal_ThickAvg,0.55933083205691,-0.00840887211521517,-0.000101980981514122,0.607091007097673,2.408,0.299,-1.23165690906482
A2009-ctx-lh-G_subcallosal_ThickStd,0.576856666827824,0.00623345490140963,-0.000192844214768613,0.190286099045144,0.86,0.128,-2.0045104003066
A2009-ctx-lh-G_temp_sup-G_T_transv_GrayVol,0.566570746833315,-0.0402991298187537,0.000291112691067463,1.19741611636373,1002,329,-0.0743688918013689
A2009-ctx-lh-G_temp_sup-G_T_transv_ThickAvg,0.581441278491266,-0.0251647727904132,0.00014803354535121,0.810542486495696,2.286,0.331,0.516734987656537
A2009-ctx-lh-G_temp_sup-G_T_transv_ThickStd,0.618124151291321,-0.032238029536861,0.000286302113381927,0.847289967035688,0.479,0.097,-0.308698183169636
A2009-ctx-lh-G_temp_sup-Lateral_GrayVol,0.544086649096747,-0.0325492929444076,0.000166514512637347,1.13310081416086,6113,1196,0.536921046590893
